 course_code,course_title,course_credit,prerequisites
MAT1102,Differential calculus & co-ordinate geometry,3,N/A
PHY1101,Physics 1,3,N/A
PHY1102,Physics 1 lab,1,N/A
ENG1101,English reading skills & public speaking,3,N/A
CSC1102,Introduction to programming,3,N/A
CSC1103,Introduction to programming lab,1,N/A
CSC1101,Introduction to computer studies,1,N/A
CSC1204,Discrete mathematics,3,"MAT1102
CSC1102"
MAT1205,Integral calculus & ordinary differential equations,3,MAT1102
CSC1205,Object oriented programming 1,3,"CSC1102
CSC1103"
PHY1203,Physics 2,3,PHY1101
PHY1204,Physics 2 lab,1,PHY1102
ENG1202,English writing skills & communication,3,ENG1101
COE2101,Introduction to electrical circuits,3,PHY1101
COE2102,Introduction to electrical circuits lab,1,PHY1102
CHEM1101,Chemistry,3,PHY1203
MAT2101,"Complex variable, Laplace & z-transformation",3,MAT1205
CSC2108,Introduction to database,3,CSC1205
EEE2104,Electronic devices lab,1,COE2102
BBA1102,Principles of accounting,3,MAT1205
EEE2103,Electronic devices,3,COE2101
CSC2106,Data structure,3,"CSC1204
CSC1205"
CSC2107,Data structure lab,1,"CSC1204
CSC1205"
BAE2101,Computer aided design & drafting,1,N/A
CSC2211,Algorithms,3,"CSC2106
CSC2107"
MAT2202,"Matrices, vectors, Fourier analysis",3,MAT2101
CSC2210,Object oriented programming 2,3,"CSC2108
CSC1205"
CSC2209,Object oriented analysis and design,3,CSC2108
BAS2101,Bangladesh studies,3,CSC1101
EEE3101,Digital logic and circuits,3,EEE2103
EEE3102,Digital logic and circuits lab,1,EEE2104
MAT3103,Computational statistics and probability,3,MAT2101
CSC3113,Theory of computation,3,CSC2211
ECO3150,Principles of economics,2,MAT3103
ENG2103,Business communication,3,BAS2101
MAT3101,Numerical methods for science and engineering,3,MAT2202
COE3103,Data communication,3,"EEE3101
EEE3102"
COE3104,Microprocessor and embedded system,3,"EEE3101
EEE3102"
CSC3112,Software engineering,3,"CSC2209
CSC2210"
CSC3217,Artificial intelligence and expert system,3,"CSC2211
MAT3103"
COE3206,Computer networks,3,COE3103
COE3205,Computer organization and architecture,3,COE3104
CSC3214,Operating system,3,"CSC2211
COE3104"
CSC3215,Web technologies,3,CSC3112
EEE2216,Engineering ethics,2,"CSC3112
COE3104"
CSC3216,Compiler design,3,CSC3113
CSC4118,Computer graphics,3,"CSC2211
MAT2202"
MGT3202,Engineering management,3,EEE2216
CSC4197,Research methodology,3,N/A
